Formula,Metal,Insulator,MIT,Correct,Label,Stoichiometry,Crystal_structure,Average_MO_distance,Valence_electron,d_electron,Mass_density,Mean_electronegativity,Polarizability,Std_of_ionic_radius,Crystal_field_splitting,Electronic_corr,Respondent,Accuracy
LaRuO3,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,5,65
LaFeO3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,5,65
LaNiO3,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,5,65
CaFeO3,1,0,1,1,2,0,1,0,1,0,0,0,0,0,1,1,5,65
ReO3,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,5,65
MoO2,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,5,65
MoO3,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,5,65
Ag2BiO3,0,1,1,1,2,0,1,0,1,0,0,0,0,0,1,1,5,65
TiO,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,5,65
MnO,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,5,65
Ca2RuO4,0,1,1,1,2,0,1,0,0,0,0,0,0,0,1,1,5,65
NbO2,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,5,65
Sr2TiO4,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,5,65
Ti2O3,0,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,5,65
Cr2O3,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,5,65
KVO3,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,5,65
BaVS3,1,0,1,1,2,1,1,0,1,0,0,0,0,0,0,0,5,65
SrCrO3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,5,65
LaRuO3,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,6,52
LaFeO3,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,6,52
LaNiO3,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,6,52
CaFeO3,0,1,1,1,2,0,1,0,0,1,0,0,0,0,1,0,6,52
ReO3,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,6,52
MoO2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,6,52
MoO3,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,6,52
Ag2BiO3,1,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,6,52
TiO,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,6,52
MnO,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,6,52
Ca2RuO4,1,0,1,1,2,0,1,1,0,1,0,0,0,0,0,0,6,52
NbO2,1,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,6,52
Sr2TiO4,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,6,52
Ti2O3,0,1,1,1,2,1,1,0,0,1,0,0,0,0,0,0,6,52
Cr2O3,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,6,52
KVO3,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,6,52
BaVS3,0,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,6,52
SrCrO3,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,6,52
LaRuO3,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,7,45
LaFeO3,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,7,45
LaNiO3,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,7,45
CaFeO3,0,1,1,1,2,1,1,0,1,1,0,1,1,0,1,1,7,45
ReO3,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,7,45
MoO2,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,7,45
MoO3,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,7,45
Ag2BiO3,1,0,1,1,2,1,1,0,1,1,0,1,1,0,1,1,7,45
TiO,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,7,45
MnO,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,7,45
Ca2RuO4,0,1,0,0,2,1,1,0,1,1,0,0,1,0,1,1,7,45
NbO2,0,1,0,0,2,1,1,0,1,1,0,1,1,0,1,1,7,45
Sr2TiO4,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,7,45
Ti2O3,0,1,0,0,2,1,1,0,1,1,0,1,1,0,1,1,7,45
Cr2O3,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,7,45
KVO3,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,7,45
BaVS3,0,1,0,0,2,1,1,0,1,1,0,1,1,0,1,1,7,45
SrCrO3,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,7,45
LaRuO3,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,8,74
LaFeO3,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,8,74
LaNiO3,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,8,74
CaFeO3,0,1,0,0,2,1,1,1,1,1,0,0,1,0,0,1,8,74
ReO3,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,8,74
MoO2,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,8,74
MoO3,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,8,74
Ag2BiO3,1,0,1,1,2,1,1,1,1,1,0,0,1,0,0,1,8,74
TiO,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,8,74
MnO,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,8,74
Ca2RuO4,1,0,1,1,2,1,1,1,1,1,0,0,1,0,0,1,8,74
NbO2,0,1,1,1,2,1,0,1,1,1,0,0,1,0,0,1,8,74
Sr2TiO4,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,8,74
Ti2O3,0,1,1,1,2,1,1,1,1,1,0,0,1,0,0,1,8,74
Cr2O3,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,8,74
KVO3,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,8,74
BaVS3,1,0,0,0,2,1,1,1,1,1,0,0,1,0,0,1,8,74
SrCrO3,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,8,74
LaRuO3,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,9,61
LaFeO3,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,9,61
LaNiO3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,9,61
CaFeO3,1,0,1,1,2,1,0,0,0,1,0,0,0,0,1,1,9,61
ReO3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,9,61
MoO2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,9,61
MoO3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9,61
Ag2BiO3,0,1,1,1,2,1,0,0,0,1,0,0,0,0,1,1,9,61
TiO,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,9,61
MnO,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9,61
Ca2RuO4,1,0,1,1,2,1,1,0,0,1,0,0,0,0,1,1,9,61
NbO2,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,9,61
Sr2TiO4,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,9,61
Ti2O3,1,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,9,61
Cr2O3,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,9,61
KVO3,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,9,61
BaVS3,0,1,1,1,2,1,0,0,0,1,0,0,0,0,1,1,9,61
SrCrO3,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,9,61
LaRuO3,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,10,61
LaFeO3,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,10,61
LaNiO3,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,10,61
CaFeO3,0,1,0,0,2,1,1,1,1,1,0,0,0,0,1,0,10,61
ReO3,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,10,61
MoO2,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,10,61
MoO3,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,10,61
Ag2BiO3,0,1,0,0,2,1,1,1,1,0,0,0,0,0,1,0,10,61
TiO,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,61
MnO,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,10,61
Ca2RuO4,1,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0,10,61
NbO2,1,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,10,61
Sr2TiO4,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,10,61
Ti2O3,1,0,1,1,2,1,1,0,1,1,0,0,0,0,1,0,10,61
Cr2O3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,10,61
KVO3,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,10,61
BaVS3,1,0,0,0,2,1,1,1,0,1,0,1,1,0,1,0,10,61
SrCrO3,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,10,61
LaRuO3,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,11,61
LaFeO3,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,11,61
LaNiO3,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,11,61
CaFeO3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,11,61
ReO3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,11,61
MoO2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,11,61
MoO3,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,11,61
Ag2BiO3,0,1,1,1,2,1,0,1,0,1,0,0,1,0,0,0,11,61
TiO,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,11,61
MnO,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,11,61
Ca2RuO4,1,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,11,61
NbO2,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,11,61
Sr2TiO4,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,11,61
Ti2O3,0,1,1,1,2,1,0,0,0,0,1,1,1,0,0,0,11,61
Cr2O3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11,61
KVO3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,61
BaVS3,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,11,61
SrCrO3,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,11,61
LaRuO3,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,12,55
LaFeO3,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,12,55
LaNiO3,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,12,55
CaFeO3,0,1,1,1,2,1,0,0,1,0,0,0,0,0,1,1,12,55
ReO3,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,12,55
MoO2,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,12,55
MoO3,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,12,55
Ag2BiO3,1,0,1,1,2,1,1,0,1,1,0,0,0,0,1,1,12,55
TiO,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,12,55
MnO,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,12,55
Ca2RuO4,0,1,1,1,2,1,1,0,1,1,0,0,0,0,1,1,12,55
NbO2,1,0,1,1,2,1,1,0,1,1,0,0,0,0,1,1,12,55
Sr2TiO4,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,12,55
Ti2O3,1,0,1,1,2,1,1,0,0,1,0,0,0,1,1,1,12,55
Cr2O3,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,12,55
KVO3,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,12,55
BaVS3,1,0,1,1,2,1,1,0,1,1,0,0,0,0,1,1,12,55
SrCrO3,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,12,55
LaRuO3,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,13,48
LaFeO3,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,13,48
LaNiO3,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,13,48
CaFeO3,0,1,1,1,2,1,1,0,0,1,0,0,0,0,1,0,13,48
ReO3,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,13,48
MoO2,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,13,48
MoO3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,13,48
Ag2BiO3,0,1,1,1,2,1,1,0,0,1,0,0,0,0,1,1,13,48
TiO,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,13,48
MnO,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,13,48
Ca2RuO4,0,1,1,1,2,1,1,0,0,1,0,0,0,0,1,1,13,48
NbO2,0,1,1,1,2,1,0,0,0,1,0,0,0,0,1,0,13,48
Sr2TiO4,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,13,48
Ti2O3,1,0,1,1,2,1,1,0,0,1,0,0,0,0,1,1,13,48
Cr2O3,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,13,48
KVO3,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,13,48
BaVS3,0,1,1,1,2,0,1,0,0,1,0,0,0,0,1,1,13,48
SrCrO3,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,13,48
LaRuO3,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,14,77
LaFeO3,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,14,77
LaNiO3,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,14,77
CaFeO3,1,0,1,1,2,1,1,0,1,1,0,0,0,0,1,1,14,77
ReO3,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,14,77
MoO2,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,14,77
MoO3,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,14,77
Ag2BiO3,1,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,14,77
TiO,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,14,77
MnO,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,14,77
Ca2RuO4,1,0,0,0,2,0,1,1,1,1,0,1,1,1,1,0,14,77
NbO2,1,0,1,1,2,1,1,1,1,1,1,0,0,1,1,0,14,77
Sr2TiO4,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,14,77
Ti2O3,1,0,1,1,2,1,1,0,1,1,0,0,0,0,1,0,14,77
Cr2O3,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,14,77
KVO3,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,14,77
BaVS3,0,1,1,1,2,1,1,0,1,1,0,1,0,0,1,0,14,77
SrCrO3,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,14,77
LaRuO3,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,15,48
LaFeO3,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,15,48
LaNiO3,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,15,48
CaFeO3,1,0,0,0,2,1,1,0,0,0,0,1,1,1,1,0,15,48
ReO3,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,15,48
MoO2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,15,48
MoO3,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,15,48
Ag2BiO3,1,0,0,0,2,0,0,1,0,1,1,1,1,1,0,0,15,48
TiO,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,15,48
MnO,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,15,48
Ca2RuO4,1,0,1,1,2,0,0,1,0,0,0,0,1,0,1,1,15,48
NbO2,1,0,1,1,2,1,0,1,0,0,0,1,0,1,0,0,15,48
Sr2TiO4,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,15,48
Ti2O3,0,1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,15,48
Cr2O3,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,15,48
KVO3,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,15,48
BaVS3,0,1,0,0,2,0,0,1,0,0,1,1,0,0,1,0,15,48
SrCrO3,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,15,48
LaRuO3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,16,48
LaFeO3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16,48
LaNiO3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,16,48
CaFeO3,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,16,48
ReO3,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,16,48
MoO2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,16,48
MoO3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,48
Ag2BiO3,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,16,48
TiO,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,16,48
MnO,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,48
Ca2RuO4,1,0,1,1,2,1,1,1,1,1,0,0,0,0,0,1,16,48
NbO2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,16,48
Sr2TiO4,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,16,48
Ti2O3,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,16,48
Cr2O3,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,16,48
KVO3,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,16,48
BaVS3,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,16,48
SrCrO3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,16,48
LaRuO3,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,17,77
LaFeO3,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,17,77
LaNiO3,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,17,77
CaFeO3,0,1,1,1,2,0,1,1,1,1,0,0,0,0,0,1,17,77
ReO3,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,17,77
MoO2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,17,77
MoO3,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,17,77
Ag2BiO3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,17,77
TiO,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,17,77
MnO,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17,77
Ca2RuO4,0,1,1,1,2,0,1,0,1,1,0,0,0,0,1,1,17,77
NbO2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,17,77
Sr2TiO4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17,77
Ti2O3,1,0,1,1,2,0,0,0,0,1,0,0,0,0,1,1,17,77
Cr2O3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,17,77
KVO3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17,77
BaVS3,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,17,77
SrCrO3,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,17,77
LaRuO3,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,18,71
LaFeO3,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,18,71
LaNiO3,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,18,71
CaFeO3,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,18,71
ReO3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,18,71
MoO2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,18,71
MoO3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18,71
Ag2BiO3,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,18,71
TiO,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,18,71
MnO,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,18,71
Ca2RuO4,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,18,71
NbO2,1,0,1,1,2,0,1,0,0,1,0,0,0,0,1,0,18,71
Sr2TiO4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,18,71
Ti2O3,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,18,71
Cr2O3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18,71
KVO3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,18,71
BaVS3,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,18,71
SrCrO3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,18,71
