Formula,Metal,Insulator,MIT,Correct,Label,Stoichiometry,Crystal_structure,Average_MO_distance,Valence_electron,d_electron,Mass_density,Mean_electronegativity,Polarizability,Std_of_ionic_radius,Crystal_field_splitting,Electronic_corr,Respondent,Accuracy
LaRuO3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,61
LaFeO3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,61
LaNiO3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,61
CaFeO3,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,19,61
ReO3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,61
MoO2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,61
MoO3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,61
Ag2BiO3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,61
TiO,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,61
MnO,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,61
Ca2RuO4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,61
NbO2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,61
Sr2TiO4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,61
Ti2O3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,61
Cr2O3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,61
KVO3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,61
BaVS3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,61
SrCrO3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,61
LaRuO3,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,20,42
LaFeO3,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,20,42
LaNiO3,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,20,42
CaFeO3,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,0,20,42
ReO3,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,20,42
MoO2,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,20,42
MoO3,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,20,42
Ag2BiO3,1,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,20,42
TiO,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,20,42
MnO,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,20,42
Ca2RuO4,0,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0,20,42
NbO2,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,20,42
Sr2TiO4,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,20,42
Ti2O3,0,1,0,0,2,0,1,0,1,1,0,1,0,0,0,0,20,42
Cr2O3,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,20,42
KVO3,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,20,42
BaVS3,0,1,1,1,2,0,1,0,1,1,0,0,1,0,0,0,20,42
SrCrO3,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,20,42
LaRuO3,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,21,45
LaFeO3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,21,45
LaNiO3,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,21,45
CaFeO3,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,21,45
ReO3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,21,45
MoO2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,21,45
MoO3,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,21,45
Ag2BiO3,1,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,21,45
TiO,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,21,45
MnO,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,21,45
Ca2RuO4,0,1,1,1,2,0,0,0,1,0,0,1,0,0,0,0,21,45
NbO2,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,21,45
Sr2TiO4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,21,45
Ti2O3,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,21,45
Cr2O3,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,21,45
KVO3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,21,45
BaVS3,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,21,45
SrCrO3,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,21,45
LaRuO3,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,22,68
LaFeO3,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,22,68
LaNiO3,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,22,68
CaFeO3,1,0,1,1,2,1,1,1,0,1,0,0,0,0,1,1,22,68
ReO3,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,22,68
MoO2,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,22,68
MoO3,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,22,68
Ag2BiO3,1,0,1,1,2,1,1,1,0,1,0,0,1,0,1,1,22,68
TiO,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,22,68
MnO,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,22,68
Ca2RuO4,0,1,1,1,2,1,1,1,0,1,0,0,0,0,0,1,22,68
NbO2,1,0,1,1,2,1,1,1,0,1,0,0,0,0,0,1,22,68
Sr2TiO4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,22,68
Ti2O3,1,0,1,1,2,1,1,1,0,1,0,0,0,0,0,1,22,68
Cr2O3,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,22,68
KVO3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,22,68
BaVS3,1,0,1,1,2,1,1,1,0,1,0,0,0,0,1,1,22,68
SrCrO3,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,22,68
LaRuO3,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,23,61
LaFeO3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,23,61
LaNiO3,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,23,61
CaFeO3,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,23,61
ReO3,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,23,61
MoO2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,23,61
MoO3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,23,61
Ag2BiO3,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,23,61
TiO,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,23,61
MnO,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,23,61
Ca2RuO4,0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,1,23,61
NbO2,0,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0,23,61
Sr2TiO4,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,23,61
Ti2O3,0,1,1,1,2,1,1,0,0,1,0,1,0,0,1,0,23,61
Cr2O3,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,23,61
KVO3,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,23,61
BaVS3,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,23,61
SrCrO3,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,23,61
LaRuO3,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,24,52
LaFeO3,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,24,52
LaNiO3,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,24,52
CaFeO3,0,1,1,1,2,0,1,0,1,1,0,0,0,0,1,1,24,52
ReO3,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,24,52
MoO2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,24,52
MoO3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,24,52
Ag2BiO3,1,0,0,0,2,0,1,0,1,1,0,0,0,0,1,1,24,52
TiO,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,24,52
MnO,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,24,52
Ca2RuO4,1,0,1,1,2,0,1,0,1,1,0,0,0,0,1,1,24,52
NbO2,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,24,52
Sr2TiO4,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,24,52
Ti2O3,1,0,1,1,2,0,1,0,1,1,0,0,0,0,0,0,24,52
Cr2O3,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,24,52
KVO3,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,24,52
BaVS3,0,1,1,1,2,0,1,1,0,1,0,0,0,0,0,1,24,52
SrCrO3,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,24,52
LaRuO3,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,25,45
LaFeO3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,25,45
LaNiO3,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,25,45
CaFeO3,0,1,0,0,2,0,1,1,1,1,0,0,1,0,0,1,25,45
ReO3,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,25,45
MoO2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,25,45
MoO3,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,25,45
Ag2BiO3,1,0,1,1,2,0,1,1,1,1,0,0,0,0,1,1,25,45
TiO,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,25,45
MnO,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,25,45
Ca2RuO4,1,0,1,1,2,0,1,0,0,1,0,0,1,0,1,1,25,45
NbO2,0,1,0,0,2,0,1,0,1,1,0,0,1,0,0,1,25,45
Sr2TiO4,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,25,45
Ti2O3,0,1,0,0,2,0,1,0,0,0,0,1,1,0,1,1,25,45
Cr2O3,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,25,45
KVO3,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,25,45
BaVS3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,25,45
SrCrO3,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,25,45
LaRuO3,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,26,52
LaFeO3,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,26,52
LaNiO3,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,26,52
CaFeO3,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,26,52
ReO3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,26,52
MoO2,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,26,52
MoO3,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,26,52
Ag2BiO3,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,26,52
TiO,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,26,52
MnO,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,26,52
Ca2RuO4,1,0,1,1,2,1,1,0,1,0,0,0,0,0,0,1,26,52
NbO2,0,1,0,0,2,0,1,0,0,1,0,0,0,0,1,0,26,52
Sr2TiO4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,26,52
Ti2O3,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,26,52
Cr2O3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,26,52
KVO3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,26,52
BaVS3,0,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,26,52
SrCrO3,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,26,52
LaRuO3,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,27,77
LaFeO3,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,27,77
LaNiO3,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,27,77
CaFeO3,1,0,1,1,2,1,1,0,1,1,0,1,0,0,1,1,27,77
ReO3,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,27,77
MoO2,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,27,77
MoO3,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,27,77
Ag2BiO3,1,0,1,1,2,1,1,0,1,0,0,0,0,0,1,1,27,77
TiO,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,27,77
MnO,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,27,77
Ca2RuO4,0,1,1,1,2,1,1,0,1,1,0,0,0,0,1,1,27,77
NbO2,0,1,1,1,2,1,1,1,1,1,0,0,0,0,0,1,27,77
Sr2TiO4,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,27,77
Ti2O3,1,0,0,0,2,1,1,1,1,1,0,0,0,0,1,0,27,77
Cr2O3,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,27,77
KVO3,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,27,77
BaVS3,1,0,1,1,2,1,1,0,1,1,0,1,0,0,0,1,27,77
SrCrO3,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,27,77
LaRuO3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,28,58
LaFeO3,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,28,58
LaNiO3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,28,58
CaFeO3,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,28,58
ReO3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,28,58
MoO2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,28,58
MoO3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,28,58
Ag2BiO3,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,28,58
TiO,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,28,58
MnO,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,28,58
Ca2RuO4,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,28,58
NbO2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,28,58
Sr2TiO4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,28,58
Ti2O3,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,28,58
Cr2O3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,28,58
KVO3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,28,58
BaVS3,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,28,58
SrCrO3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,28,58
LaRuO3,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,29,84
LaFeO3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,29,84
LaNiO3,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,29,84
CaFeO3,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,29,84
ReO3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,29,84
MoO2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,29,84
MoO3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,29,84
Ag2BiO3,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,29,84
TiO,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,29,84
MnO,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,29,84
Ca2RuO4,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,29,84
NbO2,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,29,84
Sr2TiO4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,29,84
Ti2O3,1,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,29,84
Cr2O3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,29,84
KVO3,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,29,84
BaVS3,1,0,1,1,2,0,0,0,0,1,0,0,1,0,1,0,29,84
SrCrO3,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,29,84
LaRuO3,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,30,74
LaFeO3,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,30,74
LaNiO3,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,30,74
CaFeO3,0,1,1,1,2,1,1,1,1,1,0,0,0,0,1,1,30,74
ReO3,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,30,74
MoO2,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,30,74
MoO3,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,30,74
Ag2BiO3,1,0,1,1,2,1,1,1,1,1,0,0,1,1,1,1,30,74
TiO,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,30,74
MnO,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,30,74
Ca2RuO4,1,0,1,1,2,1,1,1,1,1,0,0,0,0,1,1,30,74
NbO2,0,1,1,1,2,1,1,1,1,1,0,0,0,1,1,1,30,74
Sr2TiO4,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,30,74
Ti2O3,1,0,1,1,2,1,1,1,1,1,0,0,0,0,1,1,30,74
Cr2O3,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,30,74
KVO3,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,30,74
BaVS3,1,0,1,1,2,1,1,1,1,1,0,0,0,0,1,1,30,74
SrCrO3,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,30,74
LaRuO3,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,31,74
LaFeO3,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,31,74
LaNiO3,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,31,74
CaFeO3,1,0,1,1,2,1,0,1,0,1,0,0,0,0,1,1,31,74
ReO3,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,31,74
MoO2,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,31,74
MoO3,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,31,74
Ag2BiO3,1,0,1,1,2,1,1,1,0,1,0,0,0,0,1,0,31,74
TiO,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,31,74
MnO,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,31,74
Ca2RuO4,1,0,0,0,2,1,1,1,0,1,0,0,0,0,1,0,31,74
NbO2,0,1,1,1,2,1,1,0,0,1,0,0,0,0,0,0,31,74
Sr2TiO4,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,31,74
Ti2O3,0,1,0,0,2,1,0,0,0,1,0,0,0,0,1,1,31,74
Cr2O3,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,31,74
KVO3,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,31,74
BaVS3,1,0,1,1,2,0,1,0,0,1,0,0,0,0,0,1,31,74
SrCrO3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,31,74
LaRuO3,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,32,48
LaFeO3,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,32,48
LaNiO3,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,32,48
CaFeO3,1,0,1,1,2,1,1,0,1,1,0,0,0,0,1,0,32,48
ReO3,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,32,48
MoO2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,32,48
MoO3,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,32,48
Ag2BiO3,1,0,0,0,2,1,1,1,1,1,0,0,0,0,1,1,32,48
TiO,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,32,48
MnO,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,32,48
Ca2RuO4,1,0,1,1,2,1,1,0,1,1,0,0,0,0,1,1,32,48
NbO2,1,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,32,48
Sr2TiO4,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,32,48
Ti2O3,0,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,32,48
Cr2O3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,32,48
KVO3,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,32,48
BaVS3,1,0,0,0,2,0,1,0,1,0,0,1,0,0,1,0,32,48
SrCrO3,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,32,48
LaRuO3,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,33,55
LaFeO3,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,33,55
LaNiO3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,55
CaFeO3,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,33,55
ReO3,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,33,55
MoO2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,33,55
MoO3,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,33,55
Ag2BiO3,1,0,1,1,2,0,1,1,1,1,1,0,1,1,1,0,33,55
TiO,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,33,55
MnO,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,33,55
Ca2RuO4,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,33,55
NbO2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,33,55
Sr2TiO4,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,33,55
Ti2O3,0,1,1,1,2,1,0,0,0,1,0,0,1,0,1,0,33,55
Cr2O3,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,33,55
KVO3,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,33,55
BaVS3,1,0,1,1,2,0,0,1,1,1,0,0,1,0,1,1,33,55
SrCrO3,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,33,55
LaRuO3,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,34,55
LaFeO3,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,34,55
LaNiO3,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,34,55
CaFeO3,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,34,55
ReO3,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,34,55
MoO2,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,34,55
MoO3,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,34,55
Ag2BiO3,0,1,1,1,2,0,0,1,1,0,0,0,0,1,0,0,34,55
TiO,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,34,55
MnO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,55
Ca2RuO4,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,34,55
NbO2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,34,55
Sr2TiO4,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,34,55
Ti2O3,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,34,55
Cr2O3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,34,55
KVO3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,34,55
BaVS3,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,34,55
SrCrO3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,34,55
LaRuO3,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,35,48
LaFeO3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,35,48
LaNiO3,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,35,48
CaFeO3,1,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,35,48
ReO3,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,35,48
MoO2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,35,48
MoO3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,35,48
Ag2BiO3,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,35,48
TiO,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,35,48
MnO,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35,48
Ca2RuO4,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,35,48
NbO2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,35,48
Sr2TiO4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,35,48
Ti2O3,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,35,48
Cr2O3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,35,48
KVO3,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,35,48
BaVS3,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,35,48
SrCrO3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,35,48
LaRuO3,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,36,58
LaFeO3,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,36,58
LaNiO3,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,36,58
CaFeO3,0,1,0,0,2,0,1,1,0,1,0,1,0,0,0,0,36,58
ReO3,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,36,58
MoO2,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,36,58
MoO3,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,36,58
Ag2BiO3,1,0,1,1,2,0,1,1,1,1,1,1,0,0,0,0,36,58
TiO,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,36,58
MnO,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,36,58
Ca2RuO4,1,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,36,58
NbO2,1,0,1,1,2,0,1,1,1,1,0,0,0,0,0,1,36,58
Sr2TiO4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,36,58
Ti2O3,1,0,1,1,2,0,1,0,1,1,0,0,0,0,1,1,36,58
Cr2O3,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,36,58
KVO3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,36,58
BaVS3,1,0,1,1,2,0,1,0,1,1,0,0,0,0,0,1,36,58
SrCrO3,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,36,58
LaRuO3,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,37,48
LaFeO3,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,37,48
LaNiO3,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,37,48
